File	TechnicalReplicates	ConditionSpecies	Species	Class	Media	MaxOD	MaxTime	BlankOD	Rate	RateODIntercept	LagOD	LagTime	Excluded
GMM_140428_trail2__B_vulgatus	A1-A3	acetaminophen|H2O	B. vulgatus	Good	GMM	0.776	30457	0.190666666666667	0.142958809816358	-0.328159152314126	0.190666666666667	13065.1126064225	
GMM_140428_trail2__B_vulgatus	A5-A7	metformin|H2O	B. vulgatus	Good;Overgrowth	GMM	0.809	32150	0.195666666666667	0.145109730959532	-0.346928220508746	0.195666666666667	13461.1344181751	
GMM_140428_trail2__B_vulgatus	A9-A11	simvastatin|DMSO	B. vulgatus	Good;Overgrowth	GMM	0.785	33074	0.2	0.138886860474564	-0.310164150542208	0.2	13223.6479079193	
GMM_140428_trail2__B_vulgatus	B1-B3	aripiprazole|DMSO	B. vulgatus	Raising	GMM	0.801	31431	0.195666666666667	0.148158501064541	-0.358148208429178	0.195666666666667	13456.7610769532	
GMM_140428_trail2__B_vulgatus	B5-B7	metronidazole|H2O	B. vulgatus	Good;Overgrowth	GMM	0.806	32561	0.196	0.151955190427519	-0.396199962199069	0.196	14029.9245976303	
GMM_140428_trail2__B_vulgatus	B9-B11	sulfasalazine|DMSO	B. vulgatus	Good	GMM	0.799	32664	0.2	0.138634631305075	-0.324975572620198	0.2	13632.3229170194	
GMM_140428_trail2__B_vulgatus	C1-C3	digoxin|DMSO	B. vulgatus	Raising	GMM	0.86	33485	0.196333333333333	0.164650265070702	-0.461358485228231	0.196333333333333	14380.1198607541	
GMM_140428_trail2__B_vulgatus	C5-C7	montelukast|DMSO	B. vulgatus	Good;Overgrowth	GMM	0.804	32458	0.198333333333333	0.148579683252664	-0.403339057339287	0.198333333333333	14578.1748823495	
GMM_140428_trail2__B_vulgatus	C9-C11	tenofovir|DMSO	B. vulgatus	Good	GMM	0.831	33793	0.197666666666667	0.146577659746263	-0.357950585248616	0.197666666666667	13646.1593830707	
GMM_140428_trail2__B_vulgatus	D1-D3	donepzil|H2O	B. vulgatus	Overgrowth	GMM	0.837	32458	0.194	0.145188192288942	-0.335417318854925	0.194	13127.1167291949	
GMM_140428_trail2__B_vulgatus	D5-D7	pyridostigmine|DMSO	B. vulgatus	Raising	GMM	0.829	34717	0.196333333333333	0.151196895601452	-0.381593105625681	0.196333333333333	13760.4358341896	
GMM_140428_trail2__B_vulgatus	D9-D11	tolmetin|H2O	B. vulgatus	Good	GMM	0.839	33177	0.198333333333333	0.150707391897713	-0.364407257511263	0.198333333333333	13442.380639269	
GMM_140428_trail2__B_vulgatus	E1-E3	duloxetin|DMSO	B. vulgatus	Good	GMM	0.689	32253	0.196333333333333	0.159291784136293	-0.600714632504076	0.216	13069	
GMM_140428_trail2__B_vulgatus	E5-E7	ranitidine|DMSO	B. vulgatus	Raising	GMM	0.825	33998	0.197333333333333	0.146118246177711	-0.34786857806061	0.197333333333333	13432.4557840032	
GMM_140428_trail2__B_vulgatus	E9-E11	DMSO|DMSO	B. vulgatus	Raising	GMM	0.795	28581	0.201333333333333	0.152128175682519	-0.378407399532213	0.201333333333333	13719.1327573107	
GMM_140428_trail2__B_vulgatus	F1-F3	ezetimibe|DMSO	B. vulgatus	Good;Overgrowth	GMM	0.825	32766	0.195666666666667	0.161007116334096	-0.438910926275677	0.195666666666667	14188.685485504	
GMM_140428_trail2__B_vulgatus	F5-F7	roflumilast|DMSO	B. vulgatus	Raising	GMM	0.819	34204	0.202666666666667	0.148735436175502	-0.372946592600468	0.202666666666667	13932.1723635285	
GMM_140428_trail2__B_vulgatus	F9-F11	H2O|H2O	B. vulgatus	Good;Overgrowth	GMM	0.85	33793	0.2	0.156994520722309	-0.400654047568422	0.2	13773.4397436142	
GMM_140428_trail2__B_vulgatus	G1-G3	levamisole|H2O	B. vulgatus	Good	GMM	0.866	33485	0.195	0.150860289586108	-0.360976144912569	0.195	13267.335805708	
GMM_140428_trail2__B_vulgatus	G5-G7	rosiglitazone|DMSO	B. vulgatus	Good	GMM	0.838	33896	0.196333333333333	0.15600628054866	-0.405042815363755	0.196333333333333	13877.3524225792	
GMM_140428_trail2__B_vulgatus	H1-H3	loperamide|DMSO	B. vulgatus	Good	GMM	0.627	32664	0.193666666666667	0.138992495910894	-0.507304743609484	0.209	12206	
GMM_140428_trail2__B_vulgatus	H5-H7	rosuvastatin|DMSO	B. vulgatus	Raising	GMM	0.83	32766	0.193666666666667	0.155038879814733	-0.419733975446486	0.193666666666667	14243.1518742017	
GMM_140428_trail2__E_coli_ED1a	A1-A3	acetaminophen|H2O	E. coli ED1a	Good	GMM	0.785	66919	0.220333333333333	0.147832439603697	0.0175017137997022	0.220333333333333	4939.33423731995	
GMM_140428_trail2__E_coli_ED1a	A5-A7	metformin|H2O	E. coli ED1a	Good	GMM	0.77	68605	0.2	0.109550272449244	0.0558618949741636	0.2	4736.61239257458	
GMM_140428_trail2__E_coli_ED1a	A9-A11	simvastatin|DMSO	E. coli ED1a	Good	GMM	0.876	75246	0.231	0.10741108131831	0.0830423621801687	0.231	4958.96223754516	
GMM_140428_trail2__E_coli_ED1a	B1-B3	aripiprazole|DMSO	E. coli ED1a	Good	GMM	0.827	71451	0.200333333333333	0.115658404893162	0.0582790445258832	0.200333333333333	4421.60204594915	
GMM_140428_trail2__E_coli_ED1a	B5-B7	metronidazole|H2O	E. coli ED1a	Good	GMM	0.748	70713	0.194333333333333	0.103282396301492	0.0659149091403519	0.194333333333333	4476.13866108619	
GMM_140428_trail2__E_coli_ED1a	B9-B11	sulfasalazine|DMSO	E. coli ED1a	Good	GMM	0.865	71556	0.203666666666667	0.102387114928958	0.106545457306886	0.203666666666667	3414.84720941505	
GMM_140428_trail2__E_coli_ED1a	C1-C3	digoxin|DMSO	E. coli ED1a	Good	GMM	0.89	72083	0.208666666666667	0.112490987418062	0.080186261153922	0.208666666666667	4111.70237244814	
GMM_140428_trail2__E_coli_ED1a	C5-C7	montelukast|DMSO	E. coli ED1a	Good	GMM	0.86	74824	0.196	0.108447744332071	0.069450226805585	0.196	4200.90972205835	
GMM_140428_trail2__E_coli_ED1a	C9-C11	tenofovir|DMSO	E. coli ED1a	Good	GMM	0.86	75983	0.193333333333333	0.106746665859417	0.0699977319441489	0.193333333333333	4159.4569856244	
GMM_140428_trail2__E_coli_ED1a	D1-D3	donepzil|H2O	E. coli ED1a	Good	GMM	0.742	68183	0.191666666666667	0.112803720840486	0.060937444911504	0.191666666666667	4172.0715842706	
GMM_140428_trail2__E_coli_ED1a	D5-D7	pyridostigmine|DMSO	E. coli ED1a	Good	GMM	0.801	69554	0.207666666666667	0.110075464842366	0.0725924458276147	0.207666666666667	4417.58020933138	
GMM_140428_trail2__E_coli_ED1a	D9-D11	tolmetin|H2O	E. coli ED1a	Good	GMM	0.742	70081	0.208666666666667	0.10893698350772	0.0524785543844015	0.208666666666667	5161.49048845573	
GMM_140428_trail2__E_coli_ED1a	E1-E3	duloxetin|DMSO	E. coli ED1a	Good	GMM	0.77	70081	0.188333333333333	0.111646046066912	0.067143518156809	0.188333333333333	3907.73654782196	
GMM_140428_trail2__E_coli_ED1a	E5-E7	ranitidine|DMSO	E. coli ED1a	Good	GMM	0.804	66708	0.198666666666667	0.0965793534236711	0.106046708609023	0.198666666666667	3452.41334910195	
GMM_140428_trail2__E_coli_ED1a	E9-E11	DMSO|DMSO	E. coli ED1a	Good	GMM	0.882	80832	0.204666666666667	0.104005288855111	0.0756504763929814	0.204666666666667	4465.71794663539	
GMM_140428_trail2__E_coli_ED1a	F1-F3	ezetimibe|DMSO	E. coli ED1a	Raising	GMM	0.858	80621	0.190333333333333	0.111376738743689	0.0665865258121006	0.190333333333333	3999.83436489049	
GMM_140428_trail2__E_coli_ED1a	F5-F7	roflumilast|DMSO	E. coli ED1a	Raising	GMM	0.869	80094	0.204333333333333	0.102855162000258	0.0971656277627942	0.204333333333333	3750.9419318495	
GMM_140428_trail2__E_coli_ED1a	F9-F11	H2O|H2O	E. coli ED1a	Good	GMM	0.742	70397	0.193	0.119294115445433	0.0439399835970957	0.193	4498.26093304589	
