KEGGid,PathwayName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00010,Glycolysis / Gluconeogenesis ,cpd:C00022,cpd:C00024,cpd:C00031,cpd:C00033,cpd:C00036,cpd:C00068,cpd:C00074,cpd:C00084,cpd:C00103,cpd:C00111,cpd:C00118,cpd:C00186,cpd:C00197,cpd:C00221,cpd:C00236,cpd:C00267,cpd:C00469,cpd:C00631,cpd:C00668,cpd:C01159,cpd:C01172,cpd:C01451,cpd:C05125,cpd:C05345,cpd:C05378,cpd:C06186,cpd:C06187,cpd:C06188,cpd:C15972,cpd:C15973,cpd:C16255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00020,Citrate cycle (TCA cycle) ,cpd:C00022,cpd:C00024,cpd:C00026,cpd:C00036,cpd:C00042,cpd:C00068,cpd:C00074,cpd:C00091,cpd:C00122,cpd:C00149,cpd:C00158,cpd:C00311,cpd:C00417,cpd:C05125,cpd:C05379,cpd:C05381,cpd:C15972,cpd:C15973,cpd:C16254,cpd:C16255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00030,Pentose phosphate pathway ,cpd:C00022,cpd:C00031,cpd:C00117,cpd:C00118,cpd:C00119,cpd:C00121,cpd:C00198,cpd:C00199,cpd:C00204,cpd:C00221,cpd:C00231,cpd:C00257,cpd:C00258,cpd:C00279,cpd:C00345,cpd:C00577,cpd:C00620,cpd:C00631,cpd:C00668,cpd:C00672,cpd:C00673,cpd:C01151,cpd:C01172,cpd:C01218,cpd:C01236,cpd:C01801,cpd:C03752,cpd:C04442,cpd:C05345,cpd:C05378,cpd:C05382,cpd:C06019,cpd:C06473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00040,Pentose and glucuronate interconversions ,cpd:C00022,cpd:C00026,cpd:C00029,cpd:C00085,cpd:C00103,cpd:C00111,cpd:C00118,cpd:C00167,cpd:C00181,cpd:C00191,cpd:C00199,cpd:C00204,cpd:C00231,cpd:C00259,cpd:C00266,cpd:C00309,cpd:C00310,cpd:C00312,cpd:C00333,cpd:C00379,cpd:C00433,cpd:C00470,cpd:C00474,cpd:C00476,cpd:C00502,cpd:C00508,cpd:C00514,cpd:C00532,cpd:C00558,cpd:C00618,cpd:C00714,cpd:C00789,cpd:C00800,cpd:C00817,cpd:C00905,cpd:C01068,cpd:C01101,cpd:C01508,cpd:C01904,cpd:C02266,cpd:C02273,cpd:C03033,cpd:C03291,cpd:C03826,cpd:C04053,cpd:C04349,cpd:C04442,cpd:C04575,cpd:C05385,cpd:C05411,cpd:C05412,cpd:C06019,cpd:C06118,cpd:C06441,cpd:C14899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00051,Fructose and mannose metabolism ,cpd:C00095,cpd:C00096,cpd:C00111,cpd:C00118,cpd:C00159,cpd:C00247,cpd:C00267,cpd:C00275,cpd:C00325,cpd:C00392,cpd:C00424,cpd:C00464,cpd:C00507,cpd:C00577,cpd:C00636,cpd:C00644,cpd:C00665,cpd:C00794,cpd:C00861,cpd:C00937,cpd:C00976,cpd:C01019,cpd:C01094,cpd:C01096,cpd:C01099,cpd:C01131,cpd:C01222,cpd:C01355,cpd:C01680,cpd:C01721,cpd:C01768,cpd:C01934,cpd:C02431,cpd:C02492,cpd:C02888,cpd:C02977,cpd:C02985,cpd:C02991,cpd:C03117,cpd:C03267,cpd:C03979,cpd:C05345,cpd:C05378,cpd:C05392,cpd:C06159,cpd:C06192,cpd:C11516,cpd:C11544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00052,Galactose metabolism ,cpd:C00029,cpd:C00031,cpd:C00052,cpd:C00089,cpd:C00095,cpd:C00103,cpd:C00111,cpd:C00116,cpd:C00118,cpd:C00124,cpd:C00137,cpd:C00159,cpd:C00243,cpd:C00267,cpd:C00446,cpd:C00492,cpd:C00668,cpd:C00794,cpd:C00795,cpd:C00880,cpd:C01097,cpd:C01113,cpd:C01132,cpd:C01216,cpd:C01235,cpd:C01286,cpd:C01613,cpd:C01697,cpd:C02262,cpd:C03383,cpd:C03785,cpd:C05396,cpd:C05399,cpd:C05400,cpd:C05401,cpd:C05402,cpd:C05404,cpd:C05796,cpd:C06311,cpd:C06376,cpd:C06377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00053,Ascorbate and aldarate metabolism ,cpd:C00022,cpd:C00026,cpd:C00029,cpd:C00072,cpd:C00096,cpd:C00137,cpd:C00167,cpd:C00191,cpd:C00231,cpd:C00259,cpd:C00333,cpd:C00433,cpd:C00545,cpd:C00618,cpd:C00679,cpd:C00684,cpd:C00800,cpd:C00818,cpd:C00879,cpd:C01040,cpd:C01041,cpd:C01101,cpd:C01114,cpd:C01115,cpd:C01146,cpd:C01620,cpd:C01825,cpd:C02280,cpd:C02670,cpd:C03064,cpd:C03289,cpd:C03291,cpd:C03826,cpd:C03921,cpd:C04575,cpd:C05385,cpd:C05406,cpd:C05411,cpd:C05412,cpd:C05422,cpd:C14899,cpd:C15923,cpd:C15924,cpd:C15925,cpd:C15926,cpd:C15930,cpd:C16186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00061,Fatty acid biosynthesis ,cpd:C00024,cpd:C00083,cpd:C00229,cpd:C00249,cpd:C00712,cpd:C01203,cpd:C01209,cpd:C01530,cpd:C01571,cpd:C02679,cpd:C03939,cpd:C04088,cpd:C04246,cpd:C04419,cpd:C04618,cpd:C04619,cpd:C04620,cpd:C04633,cpd:C04688,cpd:C05223,cpd:C05744,cpd:C05745,cpd:C05746,cpd:C05747,cpd:C05748,cpd:C05749,cpd:C05750,cpd:C05751,cpd:C05752,cpd:C05753,cpd:C05754,cpd:C05755,cpd:C05756,cpd:C05757,cpd:C05758,cpd:C05759,cpd:C05760,cpd:C05761,cpd:C05762,cpd:C05763,cpd:C05764,cpd:C06250,cpd:C06423,cpd:C06424,cpd:C08362,cpd:C16219,cpd:C16220,cpd:C16221,cpd:C16520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00062,Fatty acid elongation ,cpd:C00024,cpd:C00040,cpd:C00083,cpd:C00136,cpd:C00154,cpd:C00162,cpd:C00249,cpd:C00264,cpd:C00605,cpd:C00638,cpd:C00640,cpd:C00658,cpd:C01832,cpd:C01944,cpd:C02593,cpd:C02843,cpd:C03221,cpd:C05258,cpd:C05259,cpd:C05260,cpd:C05261,cpd:C05262,cpd:C05263,cpd:C05264,cpd:C05265,cpd:C05266,cpd:C05267,cpd:C05268,cpd:C05269,cpd:C05270,cpd:C05271,cpd:C05272,cpd:C05273,cpd:C05274,cpd:C05275,cpd:C05276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00071,Fatty acid metabolism ,cpd:C00010,cpd:C00024,cpd:C00071,cpd:C00136,cpd:C00154,cpd:C00162,cpd:C00173,cpd:C00226,cpd:C00229,cpd:C00249,cpd:C00332,cpd:C00340,cpd:C00435,cpd:C00489,cpd:C00517,cpd:C00527,cpd:C00638,cpd:C00823,cpd:C00877,cpd:C01144,cpd:C01371,cpd:C01832,cpd:C01944,cpd:C02593,cpd:C02990,cpd:C03221,cpd:C03547,cpd:C03561,cpd:C05102,cpd:C05258,cpd:C05259,cpd:C05260,cpd:C05261,cpd:C05262,cpd:C05263,cpd:C05264,cpd:C05265,cpd:C05266,cpd:C05267,cpd:C05268,cpd:C05269,cpd:C05270,cpd:C05271,cpd:C05272,cpd:C05273,cpd:C05274,cpd:C05275,cpd:C05276,cpd:C05279,cpd:C05280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00072,Synthesis and degradation of ketone bodies ,cpd:C00024,cpd:C00164,cpd:C00207,cpd:C00332,cpd:C00356,cpd:C01089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00073,"Cutin, suberine and wax biosynthesis ",cpd:C00226,cpd:C00249,cpd:C00406,cpd:C00609,cpd:C00712,cpd:C01371,cpd:C01450,cpd:C01612,cpd:C01629,cpd:C02843,cpd:C08281,cpd:C08285,cpd:C18217,cpd:C18218,cpd:C19418,cpd:C19614,cpd:C19615,cpd:C19616,cpd:C19617,cpd:C19618,cpd:C19620,cpd:C19621,cpd:C19622,cpd:C19623,cpd:C19624,cpd:C19625,cpd:C19630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path:map00100,Steroid biosynthesis ,cpd:C00187,cpd:C01054,cpd:C01164,cpd:C01189,cpd:C01561,cpd:C01673,cpd:C01694,cpd:C01724,cpd:C01753,cpd:C01789,cpd:C01802,cpd:C01902,cpd:C01943,cpd:C02141,cpd:C02530,cpd:C03845,cpd:C04525,cpd:C05103,cpd:C05107,cpd:C05108,cpd:C05109,cpd:C05437,cpd:C05439,cpd:C05440,cpd:C05441,cpd:C05442,cpd:C05443,cpd:C07712,cpd:C08821,cpd:C08830,cpd:C11455,cpd:C11508,cpd:C11522,cpd:C11523,cpd:C15776,cpd:C15777,cpd:C15778,cpd:C15780,cpd:C15781,cpd:C15782,cpd:C15783,cpd:C15808,cpd:C15816,cpd:C15915,cpd:C18231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
